City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tura,25.5198,90.2201,69.53,26,0,2.55,IN,1615919875
dingle,10.9995,122.6711,76.51,88,76,3.83,PH,1615919875
alim,9.5649,122.4876,79.2,82,32,3.04,PH,1615919876
kushmurun,52.4503,64.6311,7.12,81,49,10.13,KZ,1615919876
moose factory,51.2585,-80.6094,44.6,36,1,12.66,CA,1615919877
toamasina,-18.1667,49.3833,77.0,94,75,2.3,MG,1615919877
pak phanang,8.3511,100.202,77.58,76,90,4.81,TH,1615919877
veraval,20.9,70.3667,78.26,46,0,10.58,IN,1615919878
gladstone,-23.85,151.25,69.8,88,90,8.05,AU,1615919878
ulaangom,49.9811,92.0667,5.05,86,100,1.07,MN,1615919878
wharton,29.3116,-96.1027,75.99,94,90,13.8,US,1615919879
murakeresztur,46.3642,16.8818,41.0,56,0,18.41,HU,1615919879
marzuq,14.4,46.4667,63.05,57,72,6.22,YE,1615919880
gat,31.61,34.7642,62.01,100,2,3.4,IL,1615919880
ust-nera,64.5667,143.2,-18.96,96,0,5.59,RU,1615919881
coahuayana,18.7333,-103.6833,78.8,100,1,7.67,MX,1615919881
villa del rosario,7.8339,-72.4742,78.8,83,75,2.3,CO,1615919763
cervo,43.6702,-7.4101,55.0,84,13,5.99,ES,1615919881
shingu,33.7333,135.9833,57.94,90,88,2.91,JP,1615919882
yabrud,33.9674,36.6574,53.6,54,0,13.8,SY,1615919882
novikovo,51.1537,37.8879,32.79,75,100,11.52,RU,1615919882
sorong,-0.8833,131.25,80.06,78,43,0.16,ID,1615919883
yelizovo,53.1873,158.3805,41.0,70,40,4.47,RU,1615919883
zaysan,47.4667,84.8667,4.91,83,41,1.86,KZ,1615919884
sabzevar,36.2126,57.6819,54.18,49,63,2.42,IR,1615919884
lucapa,-8.4192,20.7447,67.62,91,100,1.83,AO,1615919884
vostok,46.4856,135.8833,19.08,97,100,3.78,RU,1615919885
nelson bay,-32.7167,152.15,66.2,88,90,5.75,AU,1615919885
sola,-13.8833,167.55,75.2,100,20,7.16,VU,1615919886
tautira,-17.7333,-149.15,86.0,58,40,4.61,PF,1615919886
pultusk,52.7025,21.0828,39.0,73,63,8.03,PL,1615919886
minna,9.6139,6.5569,96.8,36,99,6.91,NG,1615919887
umea,63.8284,20.2597,24.8,86,0,3.44,SE,1615919887
hambantota,6.1241,81.1185,77.0,100,0,5.75,LK,1615919887
kantunilkin,21.0917,-87.45,86.0,62,40,14.97,MX,1615919888
laguna,38.421,-121.4238,54.0,46,1,2.1,US,1615919727
batagay-alyta,67.8006,130.4114,-22.67,76,80,3.58,RU,1615919888
ranong,9.9658,98.6348,74.08,84,100,4.9,TH,1615919889
brookings,44.3114,-96.7984,33.8,80,90,10.36,US,1615919632
east foothills,37.3811,-121.8175,55.99,58,75,6.91,US,1615919889
pestravka,52.405,49.9583,13.33,88,79,10.42,RU,1615919890
celestun,20.8667,-90.4,85.84,51,0,6.64,MX,1615919890
aksarayskiy,46.7924,48.0119,39.2,41,100,22.37,RU,1615919890
poum,-20.2333,164.0167,77.92,77,21,6.53,NC,1615919891
berlevag,70.8578,29.0864,19.4,86,90,26.46,NO,1615919891
alpena,45.0617,-83.4327,35.6,60,90,8.05,US,1615919892
dongying,37.4564,118.4856,41.43,26,93,5.84,CN,1615919892
port blair,11.6667,92.75,79.47,69,21,5.73,IN,1615919892
ahipara,-35.1667,173.1667,60.31,88,11,8.46,NZ,1615919893
porbandar,21.6422,69.6093,75.81,65,0,10.78,IN,1615919893
rabo de peixe,37.8,-25.5833,60.8,77,20,12.66,PT,1615919894
gadarwara,22.9167,78.7833,76.12,27,0,3.18,IN,1615919894
upernavik,72.7868,-56.1549,3.81,91,100,14.27,GL,1615919895
basco,20.4487,121.9702,78.35,87,100,17.85,PH,1615919895
alihe,50.5667,123.7167,11.28,90,77,3.02,CN,1615919895
sechura,-5.5569,-80.8222,84.65,53,78,5.41,PE,1615919896
lamu,-2.2717,40.902,80.6,78,20,6.91,KE,1615919896
ampanihy,-24.7,44.75,77.13,75,0,5.32,MG,1615919896
chardara,41.2547,67.9692,33.78,76,69,12.64,KZ,1615919897
biak,-0.9131,122.8766,76.42,84,70,1.36,ID,1615919897
ambilobe,-13.2,49.05,74.62,95,100,2.75,MG,1615919898
vila,42.0304,-8.1588,68.0,42,0,10.36,PT,1615919898
talara,-4.5772,-81.2719,84.2,65,75,9.22,PE,1615919899
olafsvik,64.8945,-23.7142,40.71,95,100,12.03,IS,1615919899
inhambane,-23.865,35.3833,80.01,83,20,5.75,MZ,1615919900
high level,58.5169,-117.136,30.2,59,75,2.3,CA,1615919900
paita,-5.0892,-81.1144,84.2,65,75,9.22,PE,1615919900
kundla,21.3333,71.3,75.79,37,0,7.76,IN,1615919901
pocosol,10.3667,-84.6167,86.0,35,40,8.05,CR,1615919901
mayskiy,47.6931,40.1025,41.0,75,75,20.13,RU,1615919902
nhulunbuy,-12.2333,136.7667,77.0,94,99,3.44,AU,1615919902
tucuma,-0.1833,-50.05,80.87,82,95,8.28,BR,1615919902
charters towers,-20.1,146.2667,70.16,96,10,3.6,AU,1615919903
edson,53.5835,-116.4356,37.4,44,1,6.91,CA,1615919903
vanimo,-2.6741,141.3028,77.22,85,46,2.19,PG,1615919903
nouakchott,18.0858,-15.9785,82.4,30,0,13.8,MR,1615919611
liepaja,56.5419,21.0367,32.0,100,90,3.44,LV,1615919904
haines junction,60.7522,-137.5108,15.8,57,84,4.61,CA,1615919904
jeremoabo,-10.075,-38.4808,93.45,20,0,10.87,BR,1615919905
carutapera,-1.195,-46.02,80.47,87,95,7.16,BR,1615919905
den helder,52.9599,4.7593,41.0,93,75,3.44,NL,1615919906
belle fourche,44.6714,-103.8522,36.0,74,100,6.91,US,1615919906
palmeiras de goias,-16.805,-49.9258,81.36,70,90,0.56,BR,1615919906
sabha,27.0377,14.4283,61.84,30,0,8.99,LY,1615919907
husavik,66.0449,-17.3389,39.2,70,0,10.36,IS,1615919907
nazareno,25.3833,-103.4167,84.0,7,1,9.8,MX,1615919907
richards bay,-28.783,32.0377,73.38,94,95,9.55,ZA,1615919908
zyryanka,65.75,150.85,-16.1,99,41,1.03,RU,1615919908
karnobat,42.65,26.9833,44.6,93,90,9.22,BG,1615919909
bereda,43.2686,-7.5406,51.01,90,4,8.99,ES,1615919909
taltal,-25.4,-70.4833,70.61,71,22,7.27,CL,1615919909
saint anthony,45.0205,-93.218,36.0,69,90,4.61,US,1615919910
wanning,18.8003,110.3967,70.09,91,2,1.48,CN,1615919910
ostrovnoy,68.0531,39.5131,18.99,95,100,7.83,RU,1615919911
kropotkin,45.4375,40.5756,42.01,79,90,10.54,RU,1615919911
smiltene,57.4244,25.9016,36.0,93,96,2.21,LV,1615919911
thames,-37.1333,175.5333,63.0,93,23,1.99,NZ,1615919912
kununurra,-15.7667,128.7333,78.8,89,96,4.61,AU,1615919913
kosa,59.9445,54.9977,28.62,92,100,10.42,RU,1615919913
mishan,45.55,131.8833,21.7,72,0,14.56,CN,1615919897
sobolevo,54.4299,31.8996,32.59,95,100,7.63,RU,1615919913
takoradi,4.8845,-1.7554,82.04,79,96,9.93,GH,1615919914
kahului,20.8947,-156.47,71.6,83,75,6.91,US,1615919915
zharkent,44.1628,80.0,29.3,77,81,2.17,KZ,1615919915
beidao,34.5686,105.8933,54.84,71,94,5.08,CN,1615919915
stornoway,58.2093,-6.3865,46.0,87,90,5.75,GB,1615919916
bam,29.106,58.357,65.84,21,41,0.85,IR,1615919916
qinzhou,21.95,108.6167,71.67,82,40,6.87,CN,1615919916
camana,-16.6228,-72.7111,74.57,75,100,7.87,PE,1615919917
bethel,41.3712,-73.414,32.0,38,100,7.7,US,1615919917
namatanai,-3.6667,152.4333,78.08,81,96,6.11,PG,1615919918
maltahohe,-24.8333,16.9833,70.21,22,0,16.78,NA,1615919918
khani,41.9563,42.9566,51.8,87,90,23.02,GE,1615919918
shintomi,32.0785,131.4723,61.41,93,57,5.19,JP,1615919919
mandalgovi,45.7625,106.2708,22.19,60,100,6.73,MN,1615919919
karasjok,69.4719,25.5112,19.4,86,90,3.44,NO,1615919919
rio gallegos,-51.6226,-69.2181,51.8,30,40,26.46,AR,1615919879
loja,-3.9931,-79.2042,71.6,68,90,2.3,EC,1615919920
semirom,31.4167,51.5667,47.05,56,100,3.51,IR,1615919920
huanren,41.2647,125.3667,28.38,56,0,1.95,CN,1615919886
iralaya,15.0,-83.2333,82.4,78,75,11.5,HN,1615919921
markala,13.7021,-6.0659,82.02,16,1,3.47,ML,1615919921
calvinia,-31.4707,19.776,71.42,29,0,5.3,ZA,1615919922
marsa matruh,31.3525,27.2453,57.2,58,0,4.61,EG,1615919831
nioro,13.35,-15.75,91.4,15,47,12.95,GM,1615919922
kyaukse,21.6,96.1333,75.56,27,0,2.64,MM,1615919922
awbari,26.5921,12.7805,62.06,26,0,8.75,LY,1615919923
udachnyy,66.4167,112.4,-27.26,96,34,5.82,RU,1615919923
cayenne,4.9333,-52.3333,86.0,58,40,11.5,GF,1615919923
hernani,43.2662,-1.9762,53.6,82,75,3.44,ES,1615919924
nikolayevskaya,47.6139,41.5023,39.15,73,98,17.63,RU,1615919924
kloulklubed,7.0419,134.2556,80.6,83,75,8.05,PW,1615919924
homer,59.6425,-151.5483,24.01,86,1,4.61,US,1615919925
lively,46.4334,-81.1498,37.99,25,75,10.36,CA,1615919925
toktogul,41.8708,72.9402,31.42,86,58,1.1,KG,1615919925
turukhansk,65.8167,87.9833,-18.85,74,58,2.93,RU,1615919926
nizhniy tsasuchey,50.5167,115.1333,12.36,90,18,3.85,RU,1615919926
maumere,-8.6199,122.2111,79.56,80,29,2.55,ID,1615919926
diego de almagro,-26.3667,-70.05,81.66,19,0,16.31,CL,1615919927
villazon,-22.0866,-65.5942,65.41,32,95,2.64,BO,1615919927
esmeraldas,-19.7625,-44.3139,87.8,35,75,5.75,BR,1615919927
ponta delgada,37.7333,-25.6667,60.8,77,20,12.66,PT,1615919928
naliya,23.2667,68.8333,73.49,73,0,6.29,IN,1615919928
can tho,10.0333,105.7833,75.2,94,20,2.3,VN,1615919929
nakanojo,36.5833,138.85,41.0,90,11,1.99,JP,1615919929
manokwari,-0.8667,134.0833,78.42,77,96,5.93,ID,1615919929
mahon,39.8885,4.2658,53.6,66,0,10.36,ES,1615919930
shenjiamen,29.9576,122.298,49.03,86,100,6.38,CN,1615919930
jalu,29.0331,21.5482,59.77,46,0,11.77,LY,1615919931
vilhena,-12.7406,-60.1458,84.2,65,75,8.05,BR,1615919931
te anau,-45.4167,167.7167,42.17,85,51,1.54,NZ,1615919931
storsteinnes,69.2408,19.2344,26.6,93,90,4.36,NO,1615919932
la ronge,55.1001,-105.2842,33.8,29,0,9.22,CA,1615919932
imbituba,-28.24,-48.6703,86.0,66,75,11.5,BR,1615919894
kita,13.0349,-9.4895,89.69,12,0,5.35,ML,1615919932
north platte,41.1239,-100.7654,39.2,70,90,8.05,US,1615919933
chiang klang,19.2938,100.8617,77.31,41,0,0.09,TH,1615919933
methoni,36.8197,21.7049,48.99,76,20,19.19,GR,1615919934
santiago del estero,-27.7951,-64.2615,81.5,56,87,16.15,AR,1615919934
floro,61.5996,5.0328,35.6,69,40,5.75,NO,1615919934
sistranda,63.7256,8.834,35.6,80,75,13.8,NO,1615919935
egvekinot,66.3167,-179.1667,-9.72,99,100,2.86,RU,1615919715
trenggalek,-8.05,111.7167,74.59,92,55,2.39,ID,1615919936
linfen,36.0889,111.5189,50.59,25,0,2.77,CN,1615919882
aden,12.7794,45.0367,78.58,77,2,17.52,YE,1615919911
jaffna,9.6685,80.0074,79.32,76,0,11.27,LK,1615919936
college,64.8569,-147.8028,5.0,78,90,1.54,US,1615919936
mortka,59.3322,66.0214,23.9,91,100,8.86,RU,1615919937
